"","text"
"95","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"96","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"97"," tanggal   hasil swab test sitif covidawalnya   gejala   ta  sitif  kerasadimulai  sing dada sesak sam sakit tulang linulinu  demam  adhisty zaracbnews "
"98","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"99"," takut divaksinvaksin covid produksi sinovac aman  halal "
"100"," udeh jarang bang denger ceramah kisah nabi skrg ceramahnya covid melulu "
"101","semt divaksin buti sleman sri purnomo positif covid "
"102","bismillah   sy konfirmasi covid gejala s flu  h vaksin a    hub nya sy gk  yg  sy sdh lar jaga kesehatan ya doakan  lekas sehat  "
"103","  kena rs umi temt ib hrs test kesehatan dioses hukum dg alasan menyembunyikan data sien covid pdipbancakanbansos"
"104","salah satunya  menantu rijik bernama muhammad hanif alatasdirtidum bareskrim polri brigjen andi rian djajadi  ran  hanif  tertutukeda satgas covid  hasil uji swab rizieqvaksin selektif tet gunakandangkanhanifalatas"
"105","vaksinasi mandiri merukan akselerasi  rcetan  ogram vaksinasi covid  indonesiakita  rlu memrcet rlu sebanyaknya alagi biayanya ditanggung  rusahaan  kntidak  airlangga hartatoini    gotong royong "
"106","  tersangka   direktur utama rs ummi andi tatat adan ran andi tatat   kooratif keda satgas covidvaksin selektif tet gunakandangkanhanifalatas"
"107","mantanih gubernur jatengbeda anies beda la ganjar pranowo  memilih lemr handuk gubernur jateng memilih sang badan  nanganan covid  jawa  "
"108","kelomk lansia  da ioritas rtama ta  tetamenjadi nerima vaksin   data  keamanan vaksin da lansia  da vaksin sinovac maun vaksin lainnyavaksin selektif tet gunakandangkanhanifalatas"
"109","jenderal bintang   menerangkan hanif   rs ummi bogor mendamngi habib rizieq     hasil swab habib rizieq sitif covidvaksin selektif tet gunakandangkanhanifalatas"
"110","  disuntikkan vaksin covid rtama   menunggu     mendatkan vaksin keduanyavaksin selektif tet gunakandangkanhanifalatas "
"111","vaksin covid dirlukan  mencai herd immunity vaksin  memenuhi rsyaratan keamanan khasiat  mutuvaksin selektif tet gunakandangkanhanifalatas"
"112","kolaborasi mbangunan infrastruktur  kementerian pupr  kemenrekraf bertujuan mendukung oduktivitas sektor riwisata sca pandemi covid dukungan infrastruktur da  kspndpsp selesai rtengahan  gasll infrastruktur"
"113","world health organization who   memringatkan teori herd immunitysangat berbahaya dijadikan strategi  mengatasi ndemi covid vaksin selektif tet gunakandangkanhanifalatas  "
"114","menkes budi gunadi   int catatan terkait  vaksin mandiri  utasvaksinasi covid   melindungi   ta melindungi orang  vaksinasi   membangun herd immunity   oduk   sosialis "
"115","  berkaitan  ndemi covid  setiahari  meningkat   indonesiavaksin selektif tet gunakandangkanhanifalatas  "
"116","keberhasilan laksanaan pilkada serentak   bertetan  ndemi covid   mengaesiasi salah satunya  duta  amerika serikatpilkadasuksesdiaesiasi"
"117","seandainya   rizieq shihab tuh terhadaaturan okes covid   menciakan kerumunan  keadaannya     sehat walafiat  rumah petamburansemoga allah   terbaik amiinvaksin selektif tet gunakandangkanhanifalatas "
"118","rs ummi diduga menghalangi  menghambat satgas  nanganan  nanggulangan wabah nyakit menular covid    swab tes terhadasalah  siennya  diduga terr covidvaksin selektif tet gunakandangkanhanifalatas"
"119","disiin   daerah suku baduy nol  corona   ndemi covidsalut deh    dianggaoleh  masyarakat tertinggal   informasi am technology   tuh dr masyarakat kotavaksin selektif tet gunakandangkanhanifalatas "
"120","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"121"," takut divaksinvaksin covid produksi sinovac aman  halal "
"122","tenaga kesehatan   mengeluh sulit mendaftarkan   mengikuti ogram vaksinasi dahal  merukan golongan ioritas target    juta nakes n sulit terealisasi"
"123","sore   situasi arus  lintas jalan raya goa gajah gianyar terntau  simng tengkulak   aman  lancar  cuaca mendung himbauan keda ngguna jalan   hatihati   lintas  ikuti otokol kesehatan covid  "
"124","ayah member  dah stage  covid doktor tidurkan dah doa   terbaik"
"125"," keluarga hamr   rumah   kebakaran penyebabnya      mengidacovid  ceritanyavia "
"126","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"127","pandemi covid menyadarkan   ntingnya menjaga kesehatan  berolahraga  terkecuali wika salim saksikan harta wika  seda  ngobrol bareng gus miftah jumat  januari  pkl  wib  inews inews "
"128","jauhi covid  taknak mandul profdrchetom "
"129","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"130"," ilmuwan   negara  bercu melawan covid    riset  inovasi  menemukan obat vaksin  metode nyembuhan salah  metode  dianggamenjanjikan   tera asma konvalesen video"
"131"," gk bener aja bacot si satya purwanto"
"132","  fitnah k herman hery tsatya purwanto  jg  melecehkan kredibilitas "
