"","text"
"449","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"450","giat himbauan  aturan  lintas  sosialisasi  adaasi kebiasaan   pencegahan nyebaran virus covid  keda ngendara r    masker   rumahjauhi kerumunanamselalu cuci tangantobelo  januari  "
"451","beritasamtkegiatan masyarakat palangka raya  dintau satgas covid palangka raya  uya ncegahan nyebaran covid    satgas covid kot "
"452","ayah member  dah stage  covid doktor tidurkan dah doa   terbaik"
"453"," takut divaksinvaksin covid produksi sinovac aman  halal "
"454","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"455","please butuh golongan darah o rnah sitif covid    dinyatakan sembuh  domisili surabaya cp bagas  "
"456","klu  diviralkan tinggal pencet tombol  rtlmoeldoko imbau tokoh blik jujur  terr covidpemerintah mendorong tokoh blik  kela lembaga   lasan masyarakat  terbuka  terr virus sars cov cc "
"457","buti  dokter terinfeksi covid  disuntik vaksin"
"458","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"459"," berdasarkan  satya purwanto  berani   sami melecehkan kredibilitas kabikitas  ofesionalisme "
"460","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"461","majlis ramah mesra  presiden persatuan alumni covid "
"462","launching vaksinasi covid  kabuten jayarasentanibuti kabuten jayara  forkomda tni  polri melaunching ogram vaksinasi covid  rumah sakit yowari distrik sentani kabuten jayara kamis  "
"463"," yg  utk komikasi covid"
"464","  rjuangannya melawan covid mam menjalankan tugas  tanggung   menko ekonomi  ketua komite nanganan covid  ekonomi nasional kretagama airlangga jalantengah solusikebangsaan "
"465"," takut divaksinvaksin covid produksi sinovac aman  halal "
"466"," vaksin selektif tet gunakandangkanhanifalatas tetadi audit  trilyun anggaran covid dki cuman orang bpk konco  anies baswedan    kpk   sudara bingung"
"467","pls show more of this sort of news  gi highlight orang kat serdang tu wuiyo litnya haeningnya bullshit  seksanya sesak nafas kerana covid "
"468","karanganyar anggota koramil  gondangrejo kou hadi melaksanakan troli ndisiinan covid   kegiatan  himbauan  ajakan keda dagang  disiinguna mencegah  yebaran virus covid  wilayah gondangrejo jumat  "
"469","penginan temt isolasi sien tan gejala  wisma ragunan  tmii  nuh pemerintah kota administrasi jakarta pusat berinisiatif siaan  lokasi  calon temt isolasi mandiri sien covid korantemdigital korantem "
"470","ngungsian  sami  cluster nyebaran covid   bagana membagikan masker  menjaga  tersebutbansertanggaencana "
"471","keluhan mahasiswa universitas lamng  kkn tatamukakondisi  lamng  nderita covid    unila   dorong mahasiswa kkn  desadesa gugus tugas covid udah tegur ta unila kaya  dengerbahaya  mahasiswa am masyarakat lokasi kkn "
"472","hasan ali disahkan sitif covid "
"473","pagi   mengiringi yb turun meninjau oses laksanaan ujian antigen rtk covid  klinik selcare shah alammenerusi kerjasama pejabat dun dgn selgate corration warga shah alam   menjalani ujian  dgn bayaran serendah rm "
"474"," takut divaksin vaksin covid produksi sinovac aman  halal "
"475"," wer do you stay cause covid iyi inoda kutaura nemunhu arisame city newe "
"476","klu  diviralkan tinggal pencet tombol  rtlmoeldoko imbau tokoh blik jujur  terr covidpemerintah mendorong tokoh blik  kela lembaga   lasan masyarakat  terbuka  terr virus sars cov cc "
"477","ayah member  dah stage  covid doktor tidurkan dah doa   terbaik"
"478","lampung siaga  geh tingkat kematian cfr     nasional   total kematian      januari     rumah sakit covid nuh bor  data testing  tersedia rli lt    lacakan "
"479"," takut divaksinvaksin covid produksi sinovac aman  halal "
"480"," pesakit covid  rlu sentiasa berfikiran sitifmenteri  kene covid rlu sentiasa sitif haaa  "
"481","   mintak tolong  ramai orang  kerja kilang mendat sitif covid   kilang  berorasi walaun   dijangkiti virus ramai hak  mendiamkan   mengelakkan kerugian sambungan"
"482"," gambar  dirolehi katilkatil    abila  lawatan mbesar sakit  berkuml   menyebabkan jangkitan merebak tun m hargai dg  cadang cari solusi rawat sakit sitif covid via "
"483"," angka kematian hamr  jiwa rerata kematian harian      cfr indonesia  gt cfr global  cfr  ovinsi  gt cfr nasional  mungkas nan humanisnya   menurunkan angka kematian covid  indonesia utas  "
"484","if you takde medical card kena aly   dat eleun covid rm sehari  meninggal nauzubillah  dat msan rm let me helyou get free quotation for you click "
"485","bukti t  terjejas  covid  keaktifan groujual beli high end watch  fb"
"486","minggu les  dah gi solat jumaat   jumaat   gi  covid maa lagin  khutbah setakat nak jilat nguasa yg  dulik  rakyat nak doakan raja yg  rnah dulikan kehancuran yg   sabkontraktor nya  takyah"
"487","london kajian  kar mendati virus covid berisiko menyebabkan kemandulan keda lelaki "
"488","covid  sengah "
"489","pps bitung  walaun gi   cerah  rekanrekan pps bitung tetasemangat  laksanaan al gi   al gi kali  dimn  bak reysha     menjaga kesehatan ditengah ndemi covid   "
"490","nyanara ingamba zo kurwanya covid nizidashyirwa mubikorwa hubahiriza uburenganzira bwa muntu abantu bazahinduka ibirakare "
"491","hada covid  tera woukouf  paa by tjahya gunawanmengawaltujuanbernegara fnn"
"492","sembunyikan positif covid menko airlangga  penian  by asyari usmanmengawaltujuanbernegara fnn"
"493","rizieq  tukang oemecah belah bangsadia  mudah utk menyembunyikan kebenaran ttg hasil swabnya yg positif covid "
"494","stlh   langan jateng berinisiatif lakukn rcetan   kasitas skesmas hny  hl  ditingkatkan sayang  tdk  rcet yg  kasitas rumah sakit  jg akn  oimalkan gunanya mimn turun langsung"
"495","mantanih gubernur jatengbeda anies beda la ganjar pranowo  memilih lemr handuk gubernur jateng memilih sang badan  nanganan covid  jawa  "
"496","keluhan mahasiswa universitas lamng  kkn tatamukakondisi  lamng  nderita covid    unila   dorong mahasiswa kkn  desadesa gugus tugas covid udah tegur ta unila kaya  dengerbahaya  mahasiswa am masyarakat lokasi kkn "
"497"," sasa wao na sisi wa kwenye corona tena uk wana covido"
"498","seandainya   rizieq shihab tuh terhadaaturan okes covid   menciakan kerumunan  keadaannya     sehat walafiat  rumah petamburansemoga allah   terbaik amiinvaksin selektif tet gunakandangkanhanifalatas "
"499"," ga salah mbak wayahé covid  nongka nongki atek carmu  gaenak badan rawan terserang nyakit  wes block en ae  koyo taek ngunu"
"500","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"501"," orang   vaksin  memnyai kekbalan tubuh melawan virus covidekh  kemakan informasi hoaks yg menjelekan vaksin smart oe ya gaesvaksin selektif tet gunakandangkanhanifalatas "
"502","dah jum nawar covid sahih  news ni "
"503","buti sleman positif covid  seminggu disuntik vaksin "
"504","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"505"," beritasonora    nghuni panti asuhan st fransiskus asisi  pancoran mas dek jawa barat terkonfirmasi sitif covid berdasarkan hasil tes pcr "
"506"," rsen bumn terdamk covid   kondisinya   menbumn semoga  lalai terhadatugas utamanya menyehatkan  bumn   urus vaksin fokus  ptpn  bumn karya  hutangnya  bumn pangan yg  berdaya  skandal jiwasraya  asabri "
"507","covid barubaru    keluarga  dijangkiti covid   dat dimasuk hostal kerana  teruk   diarah kuarantin  rumahnyaini  bebenang"
"508"," takut divaksinvaksin covid produksi sinovac aman  halal "
"509","covid    ditangani   via "
"510","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"511","yes bro percayalah covid ni wujud  konsrasi "
"512","  dah borong habis bbw time takde covid book fair kat mines   rumah je "
"513"," takut divaksinvaksin covid produksi sinovac aman  halal "
"514","buti  dokter terinfeksi covid  disuntik vaksin"
"515"," after covid ahh kimie nak ajak mutuals meet"
"516","dprd alokasikan r trilun njaman  sat r triliun hrsnya dki udah bs bangun rs darurat corona  antisisi lonjakangolkar  bpk  kpk audit pemov dki dana covid triliunan mesti dirtanggungjawabkan "
"517","kesian  nak kena hadaorang tulis surat cuti covid lestu cuti seminggu  suka suka padan muka kena suh benti nak cuti ngat en"
"518","menkes  testing covid  indonesia salah  edemiologi budi  testing  efektif  edemiologi  tes mandiri teta    tes  orang susk covid "
"519","  rjuangannya melawan covid mam menjalankan tugas  tanggung   menko ekonomi  ketua komite nanganan covid  ekonomi nasional kretagama airlangga jalantengah solusikebangsaan "
"520","  haji gelar sh tkok gk nya otak akhlak am hati nurani istri kena covid   dg teganya memrkosa anaknya hukum seumur hiduwae  "
"521","mantanih gubernur jatengbeda anies beda la ganjar pranowo  memilih lemr handuk gubernur jateng memilih sang badan  nanganan covid  jawa  "
"522"," paham   sarkas aja twit rtama  nya pcare  bpjsk ehac  menkes dulilindungi  kominfo  aikasi covid berbasis web sri mulyani menkes rekrut   ecommerce ta data ga  ya tetaaja  model kartu iuran tvri "
"523","studi  mengungkagejala covid  kali    kondisi mata wasdai  kondisi mata serti  "
"524","zamansekarang  berbahaya akun fb twitter wa google ketimbang bahaya efek samng vaksin covid yg berisi chikatanya "
"525"," yg muda  yg mati duluan ehh"
"526","jauhi covid  taknak mandul profdrchetom "
"527"," amalkan norma baharu  memutuskan rantaian jangkitan covidkalau   sia  kanjapensabah jaganegarakita "
"528","majlis ramah mesra  presiden persatuan alumni covid "
"529","gt web  kontak rat anak elfira loy jalani ujian saringan covid worth a retweet "
"530","buti sleman positif covid  seminggu disuntik vaksin "
"531","dah jum nawar covid sahih  news ni "
"532"," covid  kah ogram utk menanggulangi kemacetan  ncemaran udarapantas aje meningkat terusha ha ha ha ha"
"533","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"534"," pemerintah  duli terhadanyebaran covid  setiaorang  terindikasi kena virus  memberitahukan keda   berwenang sungguhmulia teta dilain hak  statement  menteri dirbolehkan  memberitahu hening "
"535","result swab test dah  dukacita dimaklumkan  sitif covid "
"536"," orang   vaksin  memnyai kekbalan tubuh melawan virus covidekh  kemakan informasi hoaks yg menjelekan vaksin smart oe ya gaesvaksin selektif tet gunakandangkanhanifalatas "
"537","polis dah kena wajib  body cam lahkereta lis wajib  dash camsuya ketua polis n  terima laran anak buah rujuk  body cam dash camkes saman marhaen  covid dah bebera kali  dati    munasabahkes ni salah  contoh "
"538","dilarkan hostal  brazil kehabisan bekalan oksigen kerana sakit covid    ramai keluarga sakit  terksa membeli  bekalan oksigen  venezuelaperkara   menyedihkan "
"539","divaksin tetekena covid ya  cukkk  vaksin asnya terroses vaksin  kali jarak  minggu imun oimal butuh waktukalo kena harannya  sami gejala beratnek meh kebal langsung kono golek godhong nang wakanda"
"540","pesakit covid rlu sentiasa sitif  dr zulkifli "
"541"," takut divaksinvaksin covid produksi sinovac aman  halal "
"542","orang kluang   rad test  k  covid  subsidi guys  adun mengkibol "
"543"," takut divaksinvaksin covid produksi sinovac aman  halal "
"544","daun sambiloto dipercaya cegah covid gt gt gt obat obatherbal tanamanherbal daunsambiloto alternatif ndemi beritaterkini beritahariini madiun madiuntoday infomadiun jatimtoday infojatim "
"545","takutnya  covid      sesia  kena "
"546","ayah member  dah stage  covid doktor tidurkan dah doa   terbaik"
"547","jauhi covid  taknak mandul profdrchetom "
"548","pesakit covid rlu sentiasa sitif  dr zulkifli "
"549","diteln kakak gigi mengabari  salah  om  wafat gagal nafas  terkonfirmasi covid   bulik istrinya  selesai dirawat  rs krn covidsedihnya   please tuhi okes temanteman "
"550","covid  pesakit covid rlu sentiasa sitif  zulkifli"
"551","  rkara  bareskrim  memeriksa ra tersangka  tatat   dikabarkan terinfeksi covid vaksin selektif tet gunakandangkanhanifalatas"
"552","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"553","dah jum nawar covid sahih  news ni "
"554","kadar kebolehjangkitan covid  rort da jangkaan mengikut kes seharian da  januari    negara    cahan mengikut negeri  serti  lamran "
"555","ayah member  dah stage  covid doktor tidurkan dah doa   terbaik"
"556","  esidennya bangga klo ga  lockdownkira amburadulnya nanganan covid faktor utamanya  mnan tdk komten"
"557"," takut divaksinvaksin covid produksi sinovac aman  halal "
"558","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"559","jauhi covid  taknak mandul profdrchetom "
"560"," menggambarkan indonesia yg  genting cukuterwakili  tulisan   manan  tetakai masker am jaga jarak    tau covid   "
"561","mantanih gubernur jatengbeda anies beda la ganjar pranowo  memilih lemr handuk gubernur jateng memilih sang badan  nanganan covid  jawa  "
"562","andrea ammon varian mutan timbulkan risiko covid    ero "
"563"," penemuan vaksin merukan  ncaian nting  memerangi jangkitan virus covid   meragut nyawa hamr  juta orang   dunia    leskomunikasikitajabatanpenerangansodiakroks "
"564","sentiasa  transaksi tan tunai  mengurangkan jangkitan covid  sekeliling kitaingat virus covid   manamanacovidkitateguhkitamenang komunikasikitajabatanpenerangan "
"565","pusat penilaian covid dijangka mulakan orasi minggu den  kp kesihatan sodiakroks "
"566","negaranegara anggota asean rlu memrkukuhkan kesalinghubungan  bergerak   blok  komuniti asean  memrcetkan ndigitalisan   ndemik covid  kerana sektor digitalisasi berfungsi  mboleh kritikal  hamr  sektor "
"567","  buti  sitif covid    divaksinada bebera  beliau terr virus    divaksin vaksin  dosis  kekebalan   eh ketemu virusnya dst solusi perkuat m t nutrisi buka jendela"
"568","menkes budi gunadi   int catatan terkait  vaksin mandiri  utasvaksinasi covid   melindungi   ta melindungi orang  vaksinasi   membangun herd immunity   oduk   sosialis "
"569","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"570","  fitnah k herman hery tsatya purwanto  jg  melecehkan kredibilitas "
"571","majlis ramah mesra  presiden persatuan alumni covid "
"572","presiden menyebut     momentum indonesia bangkit  bergera  negara maju  mam   krisis akibat ndemi virus corona covid   "
"573","tetatersenyum ayo semangat  sembuh   allah swt    hambanya  tetaah bertawakal ayo lawan covid  jaga imun tubuh  tingkatkan ibadah  jiwa tenang "
"574"," jurnalis warga dihukum njara   siaran langsung situasi ndemi  kota wuhan badan kesehatan dunia who    nyelidikan asalusul virus  kota  da    majalahtem "
"575"," takut divaksinvaksin covid produksi sinovac aman  halal "
"576"," takut divaksinvaksin covid produksi sinovac aman  halal "
"577","sertu saryono babinsa wonotolo koramil gondang melaksanakan giat komsos  rangkat desa  kantor desa wonotolo kec gondang kab sragen  pemantauan rkembangan situasi kondisi wilayah binaan  menghimbau ntingnya menjaga kesehatan dimasa ndemi covid "
"578","sertu giyanto babinsa desa bukuran  team nakes dr skesmas bindes  satgas covid ds bukuran melaksanakan kegiatan sosialisasi okes warga bertemt  dk bukuran rt ds bukuran kec kalijambe kab sragen "
"579","kebohongannya  kebohongan  rizieq   sitif covid n   mengaku  lisi  mengusut tuntas kebohongan yg  rizieq vaksin selektif tet gunakandangkanhanifalatas "
"580","dah jum nawar covid sahih  news ni "
"581"," gimana yaaaaaaa covid nya  merajalelaaaa "
"582"," iya marett ta  sam dirnjang  gimana  samee tingkat okunsi rs rujukan covid  jkt aja udah sisa     izin ga keluarrr amitamitjabangbayiturunanjangansampeee"
"583","buti sleman positif covid  vaksinasi  penjelasan kemenkes "
"584","vaksinasi covid menkes budi kak  percaya data kemenkes "
"585","pengakuan mengejutkan menkes ri salah sasaran testing covid "
"586","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"587","pesakit covid rlu sentiasa sitif  dr zulkifli "
"588","nahhh ayo  sami kecurigaan dr tirta  jd kebenaran yg tdk berani diungkanggaran segitu besarnyatmasyarakat bnyk terr  uang gunanya  aan"
"589","kemarin   melarkan rekor kematian covid keemt kali    terakhirjawa  menyumbang  tertinggi   kali cah rekor   kumulatif jawa timur  tertinggikarena  nyawa berharga   dikendalikan  "
"590","charlotte peeters menceritakan   suami arya andika widyadana  memiliki usaha  bidang riwisata      ndemi covid   mencari masukan     survive "
"591","beda sm skr kerja kayak  ngetik  nangis wkwk s gue cerita  temen yg   jg ngrasain  yg   ngetik  nangis trnyata real  otak uda ca tblm sam target ketambahan skr covid target  ngadingadi "
"592"," hasil kerjakerjakerja    jd presiden kerjanya ngain aja  sam ekonomi berantakan  covid  tertangani ngutang   lunasi  ditambah  "
"593","   bak  yg umbar covid  turun  nov "
"594","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"595","ujian ling  ditim musibah serti  zulkifli kongsi nasihat berden covid "
"596","covid ujian rtkag rlu dijalankan seminggu seles muncul gejala "
"597","kerjha  presiden menyebut     momentum indonesia bangkit  bergera  negara maju  mam   krisis akibat ndemi virus corona covid  baikindonesiamaju"
"598","ayah member  dah stage  covid doktor tidurkan dah doa   terbaik"
"599","vaksin selektif tet gunakandangkanhanifalataspersiaan   sbelum  vaksintiga    vaksin rsian  matang jaga stamina kondisikan badan tetasht  vit"
"600","vaksin selektif tet gunakandangkanhanifalataspresiden jokowi n menginstruksikan  memerintahkan keda menteri keuangan  memioritaskan anggaran  mendukung ketersediaan  vaksinasi  gratis "
"601","ngelinye ilanga solala singavuki kuthiwe covid kanti ubetway "
"602"," gila bros  ni fawwaz am od dah tubuhkan agama  zaim duk seronok celebrate kes sitive covid sorang  bilik   kerana p"
"603","idi  kejadian ikutan  vaksinasi covid diantisisi "
"604"," satwik jg abis kena covidgtw  ngasih ngaruh tambahan engga  fisiknya"
"605","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"606","penyuntikan vaksin terhadatenaga kesehatan  lingkungan rsbp batam dibagi  bebera taha blisherstory "
"607"," menit lagibisakah vaksinasi covid selesai    sesuai rmintaan presiden  a  tantangan  adasimak mbahasan lengkaya  livecoronauate  jubir vaksinasi corona  kul  wib  "
"608"," takut divaksinvaksin covid produksi sinovac aman  halal "
"609","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"610"," hasil kerjakerjakerja    jd presiden kerjanya ngain aja  sam ekonomi berantakan  covid  tertangani ngutang   lunasi  ditambah  "
"611"," baca thread yg isinya  kehilangan   krn covid  ga kuat banget bikin mewekjuga  yg komen ngalamin  yg samattsemangat ya semoga  sehat "
"612","ponakan gue yg  bayi skrg sitif covid "
"613","london kajian  kar mendati virus covid berisiko menyebabkan kemandulan keda lelaki "
"614","  didiagnosa dgn covid tolong isi  langkah ni kat mysejahterapihak pusat penilaian covid cac  menghubungi  "
"615","     ngomong  nanganan merintah terhadacovid gini aja "
"616"," takut divaksinvaksin covid produksi sinovac aman  halal "
"617","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"618","talian sokongan psikososial diwujudkan   bantuan kaunseling keda tugas kesihatan awam  orang ramai  terkesan akibat covidhubungi talian tertera  mendatkan bantuan kaunseling  "
"619"," takut divaksinvaksin covid produksi sinovac aman  halal "
"620","charlotte peeters menceritakan   suami arya andika widyadana  memiliki usaha  bidang riwisata      ndemi covid   mencari masukan     survive "
"621","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"622"," pengembangan vaksin covid merah putih  sami    ngembang "
"623"," anggota dpr  pdi perjuangan ditengarai meminjam bendera rusahaan   mendatkan jatah bansos covid  kementerian sosialtangkaadamtangkaadam "
"624","dom ntb "
"625","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"626","bismillah   sy konfirmasi covid gejala s flu  h vaksin a    hub nya sy gk  yg  sy sdh lar jaga kesehatan ya doakan  lekas sehat  "
"627","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"628","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"629","wasafiri kutoka tanzania wazuiwa kuingia uingereza hatua hiyo inalenga kujaribu kuzuia maambukizi ya kirusi kia cha covid kutoka afrika kusini zuio halitawahusu raia wa uingereza ireland na wote wenye haki za makazi wanaorejea nchini humosoma "
"630","beru sembako  bingkisan  bentuk aesiasi kerana  tuh otokol kesehatan  mencegah nularan virus covid"
"631","  ni alasan merekacovid  tu selenger kalahkahakahakah koyak  tu"
"632"," rumah sakit rujukan covid selesai dibangun  direnovasi cari berita  klik   "
"633","pengakuan mengejutkan menkes ri salah sasaran testing covid "
"634"," mbona wanatukungutia u covid gani tena jamanii "
"635","pesakit covid rlu sentiasa sitif  dr zulkifli "
"636","sia woi yg bilang ms india kidambi sitif covid    negatif covid ta krn   kamar dgn sai anneth yg sitif covid  kidambi  isolasi"
"637","kidambi srikanth  terksa dikeluarkan  turnamen   diwajibkan menjalani karantina  memiliki riwayat kontak erat  sai praneeth b   hasil tes   senin kemarin   srikanth negatif covid"
"638","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"639","nyuruh exdangta  nya cod  kir akomodasi tiket sawat  surat test covid  hotel  ongkos taksiemank bs  bayar  janji doank    availdang bodangkeedp aja utk atur slot tglkalo emank blm siaya jgn nanya cod ya  "
"640"," suntikan rtama     antibodi  terbetuk     suntikan       meningkat     mencai level oteksi terhadacovid bergejalamaka  rentan proteksinya  "
"641"," menteri  udahlah jarang keliatan den blik sekalinya taml ngomong aja asalasalan  alagi s diawal menganggaremeh covid banget"
"642"," henti   bosan  ingatkan    covid msh    memakan korbantadi  tetangga yg meninggal  terkonfirmasi covidmohon keda  sahabat  tetatuh  disiin prokes covidjangan abai sodaraku"
"643","rakualalumr covid wawa zainal bersyukur abila ujian saringan covid   anaknya disahkan negatif"
"644","infogenwanipooll satgas penanganan covid ngomong  teko  ovinsi nang pulau jowo duwe tingkat keterisian nggon turu rumah sakit luweh teko  rsen dki jakarta daerah istimewa yogyakarta jawa barat banten ambek jawa timur"
"645","klu  diviralkan tinggal pencet tombol  rtlmoeldoko imbau tokoh blik jujur  terr covidpemerintah mendorong tokoh blik  kela lembaga   lasan masyarakat  terbuka  terr virus sars cov cc "
"646","ya emang sulit haha    ngerjain      harian  ndemi covid  an halangannya mahasiswa dietsiein tetedong internshi selamat jg  teman diskusiku we did it   foto estetik krn   enjoy ngerjain   "
"647"," ruang vidinggo isolasi covid jarene ki"
"648","salah  faktornya  tekanan rasaan dialami sakit   memngaruhi kesihatan seksual  kajianmandul tidaksubur maticuk covid "
"649","survei bikin  berbeda  kenyataan akibatnya ngga mam  menangani sien covid      les tangan jurus wan kadrun  temmediakafir "
"650","sebaknya tengok video ni  semalam  je les video call  mak  khabar doa ye mak saye sembuh  virus covid  "
"651","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"652","pesakit covid rlu sentiasa sitif  dr zulkifli "
"653"," takut divaksinvaksin covid produksi sinovac aman  halal "
"654","bismillah   sy konfirmasi covid gejala s flu  h vaksin a    hub nya sy gk  yg  sy sdh lar jaga kesehatan ya doakan  lekas sehat  "
"655"," iya loh bun  kemarin  ditawarin temen suami  kalung  gelang kesehatan  cina  anti covid   covid   ladang bisnis yah"
"656","hallo jokowi inggris   menemukan vaksin covid tam suntik dgn harga murah  dexamethasone dgn dosis rendah mam atasi covid rah sekalin    jauhkan vaksin sinovac  cina "
"657","antivaxcovid ni ciaan who  bahaya   wujud n kuman tu btw   jual vitamin  lawan covid   "
"658","plis bgt  ibuibu bakbak  nya tetangga yg kena covid tolong    diomongin bantubantu aja  ngomongin doang plis   nyakit  aibtetangga samng rumahnya aja adem adem aja situ   tetangga aja  mulutnya  "
"659","  dgn alam wow setahun pandemi masyarakat suku baduy nol  covid"
"660","bayangin   doi lu meluk    bilang gua kena covid uwwuu romantisnya dunia  akhirat"
"661","ukaona vanhu vachishuwira kuti dai nhingi afa ne covid wotoziva kuti plan chaiyo hana mwari haatungamirire vanhu vane kanenge kachi satanist satanist mumafungiro avo "
"662","ujian covid terhalang   cukusumber  kkm "
"663","tutorial  survive  covidsharing is caring rightdan  ngalaman nyata  temen   semarangboleh dicoba  juang covid "
"664","covid kentingan vaksin am imunisasijumaat  jan    malamajukan sebarang ndangan  soalan  talian     ruangbicaracovidkitajagakita "
"665"," takut divaksinvaksin covid produksi sinovac aman  halal "
"666","bismillah   sy konfirmasi covid gejala s flu  h vaksin a    hub nya sy gk  yg  sy sdh lar jaga kesehatan ya doakan  lekas sehat  "
"667","  mangkuk ayun  fb cakatakde ala covid tu  sembuh la   nak doakan   kena covid tu    akai"
"668"," takut divaksinvaksin covid produksi sinovac aman  halal "
"669","sungguh berat    sakit covid  susah cari rs terkadang  bayar  obat   cari ventilator  ctt slide  mestinya ejaan nama obatnya gammaraas tks  gambaran kondisi langan teta m semoga terlindungi "
"670","fokus penyamian maklumat proklamasi darurat  pelaksanaan perintah kawalan pergerakan pkp fasa  kemn putuskan rantaian covid sambutan  wilayah persekutuan shwp edaran  poster pembudayaan norma baharu  risalah norma baharu  komuniti "
"671","media mainstream rajin memberitakan damk covid teta       rs nuh  coba  beritakan damk covid dr sudut ndang    brik yg bangkrut  phk umkm yg bangkrut pengangguran   sulit cari kerjaberani"
"672","  diskon    ad lari kemana dana covid  t  lari kemana kek sulaaja hasil   duit nya  habis ajaibdiskriminatif anies pangkas gaji pns  persen tgupp   persen"
"673","assalammualaikumeh berjodoh  kitaanda    a  covidharihari  dengar berkaitan covid ta   covid   ameh  tengok ster  berkaitan  a  covidinshaallah serba    dat   "
"674","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"675","a   rnah nik sai pkp   tengok ramai je manusia berkeliaran roadblock n  nak tanak jeke covid dah has dah  je yg  "
"676","bismillah   sy konfirmasi covid gejala s flu  h vaksin a    hub nya sy gk  yg  sy sdh lar jaga kesehatan ya doakan  lekas sehat  "
"677","things to be grateful for  kena covid   makanan  dimakan   rumah  berteduh   keluarga   one internet  main social media  baring baring   electric  on kis  aircond  lam"
"678","pandemi covid  sami mengendurkan semangat  mencari rezeki   tetamelaksanakan otokol kesehatanselamat berinovasi kawanintel  "
"679","sambangi pasar tradisional kalsek selogiri himbau masyarakat   mematuhi otokol kesehatan   memutus mata rantai nyebaran covid "
"680","covid ngaitenderere mu  area umo tirikuda na"
"681","covid  ketua pengarah kesihatan   mendatkan ketusan  tet ujian rtkag rlu   temh   tujuh  rtama  wujudnya gejala covid "
"682","vaksin selektif tet gunakandangkanhanifalataspersiaan   sbelum  vaksintiga    vaksin rsian  matang jaga stamina kondisikan badan tetasht  vit"
"683","vaksin selektif tet gunakandangkanhanifalataspresiden jokowi n menginstruksikan  memerintahkan keda menteri keuangan  memioritaskan anggaran  mendukung ketersediaan  vaksinasi  gratis "
"684","mantanih gubernur jatengbeda anies beda la ganjar pranowo  memilih lemr handuk gubernur jateng memilih sang badan  nanganan covid  jawa  "
"685"," halaahling jg membudhekkan kungnyamereka tu lbh ngen dki  juara bertahan covid"
"686","tunatokaje kwenye janga la covid meko aitishe emergency cabinet meetingmeko ahutubie taifa kama cic na twende kwenye tujisahihishe phase kama nyerere alivyofanya kukubali sap baada ya azimio la arusha kufeli miserablymeko needs to let wizara ya afya be sober na huru"
"687","wizara ya utalii iandae utaratibu wa lazima wa kushirikiana na wizara ya mambo ya nje na ndani wa wageni wanaoingia nchini kuma covid  serikali isikataze wagwni kuja lakini iweke wazi kuwa shughuli za kiutalii si salama sanajifunzeni kenya hawajaweka kwenye hilo"
